<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	00:00:00	0.73336	0.73498	0.73334	0.73475	3452	0	0
2021.08.02	04:00:00	0.73475	0.73487	0.73292	0.73397	6247	0	0
2021.08.02	08:00:00	0.73398	0.73598	0.73369	0.73551	7486	0	0
2021.08.02	12:00:00	0.73550	0.73755	0.73524	0.73648	6876	0	0
2021.08.02	16:00:00	0.73648	0.73822	0.73561	0.73644	12882	0	0
2021.08.02	20:00:00	0.73644	0.73686	0.73573	0.73639	5137	0	0
2021.08.03	00:00:00	0.73568	0.73710	0.73568	0.73684	3044	0	0
2021.08.03	04:00:00	0.73684	0.74082	0.73574	0.73999	9343	0	0
2021.08.03	08:00:00	0.73999	0.74083	0.73850	0.73895	9401	0	0
2021.08.03	12:00:00	0.73895	0.73988	0.73766	0.73865	6794	0	0
2021.08.03	16:00:00	0.73867	0.73940	0.73610	0.73917	13329	0	0
2021.08.03	20:00:00	0.73918	0.73978	0.73872	0.73941	4627	0	0
2021.08.04	00:00:00	0.73951	0.74013	0.73883	0.73895	2745	0	0
2021.08.04	04:00:00	0.73895	0.74111	0.73882	0.74028	4881	0	0
2021.08.04	08:00:00	0.74028	0.74246	0.73923	0.74156	6334	0	0
2021.08.04	12:00:00	0.74155	0.74226	0.74052	0.74173	6379	0	0
2021.08.04	16:00:00	0.74173	0.74267	0.73702	0.73795	12719	0	0
2021.08.04	20:00:00	0.73795	0.73864	0.73783	0.73788	4454	0	0
2021.08.05	00:00:00	0.73773	0.73884	0.73739	0.73837	2139	0	0
2021.08.05	04:00:00	0.73837	0.73949	0.73767	0.73924	4329	0	0
2021.08.05	08:00:00	0.73925	0.74059	0.73837	0.74035	7085	0	0
2021.08.05	12:00:00	0.74037	0.74147	0.73971	0.73988	8598	0	0
2021.08.05	16:00:00	0.73987	0.74159	0.73915	0.74064	9041	0	0
2021.08.05	20:00:00	0.74065	0.74083	0.73999	0.74035	3324	0	0
2021.08.06	00:00:00	0.73992	0.74065	0.73903	0.73925	1862	0	0
2021.08.06	04:00:00	0.73928	0.73930	0.73798	0.73844	3940	0	0
2021.08.06	08:00:00	0.73845	0.73976	0.73832	0.73929	5484	0	0
2021.08.06	12:00:00	0.73928	0.74012	0.73719	0.73751	8648	0	0
2021.08.06	16:00:00	0.73751	0.73870	0.73466	0.73523	11925	0	0
2021.08.06	20:00:00	0.73523	0.73589	0.73505	0.73538	3634	0	0
2021.08.09	00:00:00	0.73510	0.73571	0.73281	0.73366	5375	0	0
2021.08.09	04:00:00	0.73366	0.73574	0.73366	0.73548	4390	0	0
2021.08.09	08:00:00	0.73548	0.73599	0.73358	0.73426	6947	0	0
2021.08.09	12:00:00	0.73425	0.73579	0.73393	0.73518	6853	0	0
2021.08.09	16:00:00	0.73518	0.73638	0.73316	0.73352	9994	0	0
2021.08.09	20:00:00	0.73352	0.73414	0.73281	0.73290	2996	0	0
2021.08.10	00:00:00	0.73289	0.73338	0.73257	0.73330	2019	0	0
2021.08.10	04:00:00	0.73330	0.73343	0.73159	0.73226	4134	0	0
2021.08.10	08:00:00	0.73226	0.73438	0.73223	0.73370	6595	0	0
2021.08.10	12:00:00	0.73369	0.73482	0.73276	0.73394	6020	0	0
2021.08.10	16:00:00	0.73394	0.73560	0.73329	0.73462	9232	0	0
2021.08.10	20:00:00	0.73462	0.73510	0.73446	0.73482	3122	0	0
2021.08.11	00:00:00	0.73452	0.73496	0.73400	0.73406	1620	0	0
2021.08.11	04:00:00	0.73406	0.73477	0.73346	0.73392	3368	0	0
2021.08.11	08:00:00	0.73392	0.73437	0.73232	0.73266	5294	0	0
2021.08.11	12:00:00	0.73266	0.73806	0.73244	0.73752	7744	0	0
2021.08.11	16:00:00	0.73752	0.73868	0.73674	0.73819	10632	0	0
2021.08.11	20:00:00	0.73820	0.73893	0.73711	0.73721	5233	0	0
2021.08.12	00:00:00	0.73700	0.73766	0.73665	0.73691	1976	0	0
2021.08.12	04:00:00	0.73691	0.73715	0.73623	0.73643	3732	0	0
2021.08.12	08:00:00	0.73643	0.73695	0.73543	0.73671	5421	0	0
2021.08.12	12:00:00	0.73670	0.73673	0.73460	0.73532	5746	0	0
2021.08.12	16:00:00	0.73531	0.73533	0.73349	0.73421	7177	0	0
2021.08.12	20:00:00	0.73418	0.73437	0.73318	0.73368	3471	0	0
2021.08.13	00:00:00	0.73297	0.73437	0.73297	0.73379	1650	0	0
2021.08.13	04:00:00	0.73379	0.73474	0.73333	0.73394	2882	0	0
2021.08.13	08:00:00	0.73393	0.73432	0.73341	0.73410	4257	0	0
2021.08.13	12:00:00	0.73410	0.73545	0.73397	0.73540	4384	0	0
2021.08.13	16:00:00	0.73540	0.73813	0.73489	0.73739	9262	0	0
2021.08.13	20:00:00	0.73739	0.73762	0.73681	0.73700	3761	0	0
