<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10435	1.10446	1.10344	1.10350	3151	0	0
2024.01.02	04:00:00	1.10350	1.10360	1.10168	1.10336	3926	0	0
2024.01.02	08:00:00	1.10336	1.10390	1.10108	1.10153	10596	0	0
2024.01.02	12:00:00	1.10151	1.10171	1.09495	1.09530	12838	0	0
2024.01.02	16:00:00	1.09524	1.09684	1.09410	1.09507	15016	0	0
2024.01.02	20:00:00	1.09506	1.09561	1.09383	1.09414	6219	0	0
2024.01.03	00:00:00	1.09421	1.09549	1.09378	1.09516	3534	0	0
2024.01.03	04:00:00	1.09516	1.09630	1.09487	1.09514	3729	0	0
2024.01.03	08:00:00	1.09514	1.09654	1.09349	1.09364	9740	0	0
2024.01.03	12:00:00	1.09364	1.09392	1.09102	1.09218	11903	0	0
2024.01.03	16:00:00	1.09218	1.09388	1.08981	1.09067	17903	0	0
2024.01.03	20:00:00	1.09066	1.09259	1.08931	1.09220	12750	0	0
2024.01.04	00:00:00	1.09203	1.09277	1.09070	1.09178	3900	0	0
2024.01.04	04:00:00	1.09180	1.09308	1.09161	1.09266	4763	0	0
2024.01.04	08:00:00	1.09266	1.09692	1.09210	1.09676	12285	0	0
2024.01.04	12:00:00	1.09681	1.09723	1.09328	1.09472	11412	0	0
2024.01.04	16:00:00	1.09472	1.09655	1.09383	1.09506	14812	0	0
2024.01.04	20:00:00	1.09505	1.09545	1.09432	1.09459	6270	0	0
2024.01.05	00:00:00	1.09441	1.09562	1.09390	1.09517	4339	0	0
2024.01.05	04:00:00	1.09516	1.09543	1.09342	1.09375	4107	0	0
2024.01.05	08:00:00	1.09374	1.09374	1.09028	1.09126	10205	0	0
2024.01.05	12:00:00	1.09131	1.09280	1.08769	1.09213	13395	0	0
2024.01.05	16:00:00	1.09212	1.09984	1.09212	1.09464	23451	0	0
2024.01.05	20:00:00	1.09463	1.09598	1.09354	1.09415	8947	0	0
2024.01.08	00:00:00	1.09326	1.09532	1.09326	1.09482	3471	0	0
2024.01.08	04:00:00	1.09476	1.09480	1.09307	1.09376	4418	0	0
2024.01.08	08:00:00	1.09376	1.09524	1.09227	1.09372	11131	0	0
2024.01.08	12:00:00	1.09382	1.09563	1.09344	1.09509	11746	0	0
2024.01.08	16:00:00	1.09510	1.09789	1.09495	1.09647	13993	0	0
2024.01.08	20:00:00	1.09646	1.09658	1.09490	1.09504	6132	0	0
2024.01.09	00:00:00	1.09500	1.09620	1.09450	1.09616	4719	0	0
2024.01.09	04:00:00	1.09619	1.09664	1.09482	1.09498	4423	0	0
2024.01.09	08:00:00	1.09498	1.09630	1.09380	1.09442	10040	0	0
2024.01.09	12:00:00	1.09446	1.09482	1.09290	1.09460	11585	0	0
2024.01.09	16:00:00	1.09459	1.09513	1.09103	1.09342	14827	0	0
2024.01.09	20:00:00	1.09342	1.09399	1.09202	1.09312	8389	0	0
2024.01.10	00:00:00	1.09310	1.09366	1.09256	1.09323	3624	0	0
2024.01.10	04:00:00	1.09324	1.09361	1.09280	1.09324	4163	0	0
2024.01.10	08:00:00	1.09321	1.09520	1.09230	1.09472	10697	0	0
2024.01.10	12:00:00	1.09470	1.09555	1.09406	1.09407	9251	0	0
2024.01.10	16:00:00	1.09406	1.09691	1.09321	1.09672	10845	0	0
2024.01.10	20:00:00	1.09670	1.09732	1.09594	1.09728	7469	0	0
2024.01.11	00:00:00	1.09721	1.09804	1.09654	1.09790	3833	0	0
2024.01.11	04:00:00	1.09791	1.09850	1.09758	1.09784	4193	0	0
2024.01.11	08:00:00	1.09784	1.09886	1.09590	1.09638	8472	0	0
2024.01.11	12:00:00	1.09638	1.09976	1.09356	1.09395	13204	0	0
2024.01.11	16:00:00	1.09398	1.09734	1.09304	1.09510	21876	0	0
2024.01.11	20:00:00	1.09510	1.09830	1.09499	1.09735	11392	0	0
2024.01.12	00:00:00	1.09721	1.09849	1.09618	1.09828	4784	0	0
2024.01.12	04:00:00	1.09829	1.09854	1.09733	1.09756	4290	0	0
2024.01.12	08:00:00	1.09758	1.09830	1.09610	1.09626	9103	0	0
2024.01.12	12:00:00	1.09625	1.09696	1.09361	1.09555	12753	0	0
2024.01.12	16:00:00	1.09554	1.09870	1.09472	1.09497	17385	0	0
2024.01.12	20:00:00	1.09497	1.09636	1.09483	1.09504	6561	0	0
2024.01.15	00:00:00	1.09457	1.09561	1.09408	1.09548	4445	0	0
2024.01.15	04:00:00	1.09550	1.09674	1.09550	1.09640	3679	0	0
2024.01.15	08:00:00	1.09640	1.09665	1.09431	1.09468	8687	0	0
2024.01.15	12:00:00	1.09466	1.09590	1.09336	1.09504	8847	0	0
2024.01.15	16:00:00	1.09504	1.09525	1.09382	1.09481	6759	0	0
2024.01.15	20:00:00	1.09482	1.09536	1.09477	1.09504	1482	0	0
2024.01.16	00:00:00	1.09478	1.09509	1.09154	1.09276	6516	0	0
2024.01.16	04:00:00	1.09276	1.09277	1.09126	1.09154	5251	0	0
2024.01.16	08:00:00	1.09152	1.09268	1.08840	1.08860	12638	0	0
2024.01.16	12:00:00	1.08863	1.08980	1.08716	1.08741	12963	0	0
2024.01.16	16:00:00	1.08740	1.08947	1.08622	1.08630	19725	0	0
2024.01.16	20:00:00	1.08630	1.08775	1.08629	1.08752	7348	0	0
2024.01.17	00:00:00	1.08700	1.08824	1.08620	1.08773	3818	0	0
2024.01.17	04:00:00	1.08773	1.08846	1.08608	1.08648	5080	0	0
2024.01.17	08:00:00	1.08650	1.08817	1.08555	1.08768	12522	0	0
2024.01.17	12:00:00	1.08763	1.08838	1.08514	1.08639	12589	0	0
