<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	00:00:00	1.38936	1.39045	1.38858	1.39003	3230	0	0
2021.08.02	04:00:00	1.39003	1.39036	1.38863	1.38989	4632	0	0
2021.08.02	08:00:00	1.38987	1.39324	1.38960	1.39211	7363	0	0
2021.08.02	12:00:00	1.39208	1.39246	1.38841	1.38900	7876	0	0
2021.08.02	16:00:00	1.38900	1.39179	1.38755	1.38953	13386	0	0
2021.08.02	20:00:00	1.38953	1.38954	1.38792	1.38867	5513	0	0
2021.08.03	00:00:00	1.38754	1.39011	1.38739	1.38941	1981	0	0
2021.08.03	04:00:00	1.38941	1.39043	1.38868	1.38950	4519	0	0
2021.08.03	08:00:00	1.38950	1.39248	1.38880	1.39128	8725	0	0
2021.08.03	12:00:00	1.39128	1.39386	1.39066	1.39217	9033	0	0
2021.08.03	16:00:00	1.39225	1.39243	1.38824	1.39170	14367	0	0
2021.08.03	20:00:00	1.39171	1.39187	1.39075	1.39136	4146	0	0
2021.08.04	00:00:00	1.39101	1.39176	1.39004	1.39029	2604	0	0
2021.08.04	04:00:00	1.39029	1.39329	1.39027	1.39267	2985	0	0
2021.08.04	08:00:00	1.39267	1.39468	1.39182	1.39319	7631	0	0
2021.08.04	12:00:00	1.39318	1.39419	1.39185	1.39389	9628	0	0
2021.08.04	16:00:00	1.39386	1.39578	1.38930	1.38975	14987	0	0
2021.08.04	20:00:00	1.38975	1.39058	1.38857	1.38881	4303	0	0
2021.08.05	00:00:00	1.38873	1.38974	1.38851	1.38869	1983	0	0
2021.08.05	04:00:00	1.38870	1.38940	1.38775	1.38904	3039	0	0
2021.08.05	08:00:00	1.38904	1.39243	1.38721	1.39150	8834	0	0
2021.08.05	12:00:00	1.39149	1.39456	1.39016	1.39056	12615	0	0
2021.08.05	16:00:00	1.39052	1.39489	1.38990	1.39313	11615	0	0
2021.08.05	20:00:00	1.39313	1.39381	1.39257	1.39280	4738	0	0
2021.08.06	00:00:00	1.39271	1.39325	1.39169	1.39184	2889	0	0
2021.08.06	04:00:00	1.39191	1.39234	1.39149	1.39207	2571	0	0
2021.08.06	08:00:00	1.39207	1.39328	1.39099	1.39176	6125	0	0
2021.08.06	12:00:00	1.39177	1.39299	1.38941	1.39020	10127	0	0
2021.08.06	16:00:00	1.39019	1.39073	1.38609	1.38656	10875	0	0
2021.08.06	20:00:00	1.38657	1.38815	1.38648	1.38730	3595	0	0
2021.08.09	00:00:00	1.38704	1.38780	1.38550	1.38607	5286	0	0
2021.08.09	04:00:00	1.38607	1.38708	1.38565	1.38703	3941	0	0
2021.08.09	08:00:00	1.38703	1.38906	1.38505	1.38575	7261	0	0
2021.08.09	12:00:00	1.38575	1.38948	1.38559	1.38833	8934	0	0
2021.08.09	16:00:00	1.38832	1.38895	1.38411	1.38477	9757	0	0
2021.08.09	20:00:00	1.38477	1.38587	1.38437	1.38459	4153	0	0
2021.08.10	00:00:00	1.38443	1.38514	1.38426	1.38509	1412	0	0
2021.08.10	04:00:00	1.38512	1.38515	1.38361	1.38445	2595	0	0
2021.08.10	08:00:00	1.38445	1.38726	1.38402	1.38644	6119	0	0
2021.08.10	12:00:00	1.38645	1.38659	1.38516	1.38525	6709	0	0
2021.08.10	16:00:00	1.38525	1.38686	1.38278	1.38326	10473	0	0
2021.08.10	20:00:00	1.38326	1.38434	1.38312	1.38382	4637	0	0
2021.08.11	00:00:00	1.38401	1.38418	1.38196	1.38237	2180	0	0
2021.08.11	04:00:00	1.38237	1.38336	1.38205	1.38287	2164	0	0
2021.08.11	08:00:00	1.38287	1.38333	1.38075	1.38095	6611	0	0
2021.08.11	12:00:00	1.38095	1.38762	1.38028	1.38602	9329	0	0
2021.08.11	16:00:00	1.38601	1.38794	1.38472	1.38792	10927	0	0
2021.08.11	20:00:00	1.38792	1.38880	1.38634	1.38643	4572	0	0
2021.08.12	00:00:00	1.38602	1.38740	1.38602	1.38710	2396	0	0
2021.08.12	04:00:00	1.38710	1.38752	1.38642	1.38683	4002	0	0
2021.08.12	08:00:00	1.38684	1.38787	1.38555	1.38628	5720	0	0
2021.08.12	12:00:00	1.38627	1.38661	1.38373	1.38471	7243	0	0
2021.08.12	16:00:00	1.38474	1.38475	1.38168	1.38168	8155	0	0
2021.08.12	20:00:00	1.38168	1.38180	1.37951	1.38072	5498	0	0
2021.08.13	00:00:00	1.38001	1.38137	1.38001	1.38101	2104	0	0
2021.08.13	04:00:00	1.38101	1.38168	1.38042	1.38140	1715	0	0
2021.08.13	08:00:00	1.38140	1.38150	1.37908	1.38000	4950	0	0
2021.08.13	12:00:00	1.38002	1.38342	1.37920	1.38301	6444	0	0
2021.08.13	16:00:00	1.38300	1.38712	1.38300	1.38668	9420	0	0
2021.08.13	20:00:00	1.38668	1.38753	1.38643	1.38696	3709	0	0
2021.08.16	00:00:00	1.38666	1.38728	1.38492	1.38577	2086	0	0
2021.08.16	04:00:00	1.38577	1.38667	1.38514	1.38560	2137	0	0
2021.08.16	08:00:00	1.38555	1.38679	1.38383	1.38604	5941	0	0
2021.08.16	12:00:00	1.38604	1.38784	1.38483	1.38647	7526	0	0
2021.08.16	16:00:00	1.38647	1.38724	1.38276	1.38456	10974	0	0
2021.08.16	20:00:00	1.38456	1.38456	1.38358	1.38408	2953	0	0
2021.08.17	00:00:00	1.38470	1.38470	1.38334	1.38348	1930	0	0
2021.08.17	04:00:00	1.38348	1.38366	1.38144	1.38190	3325	0	0
2021.08.17	08:00:00	1.38191	1.38300	1.37877	1.38091	9169	0	0
2021.08.17	12:00:00	1.38091	1.38119	1.37667	1.37733	9618	0	0
2021.08.17	16:00:00	1.37736	1.37760	1.37261	1.37267	11668	0	0
2021.08.17	20:00:00	1.37267	1.37423	1.37267	1.37361	4865	0	0
2021.08.18	00:00:00	1.37350	1.37430	1.37238	1.37410	1911	0	0
2021.08.18	04:00:00	1.37410	1.37592	1.37388	1.37426	4074	0	0
2021.08.18	08:00:00	1.37425	1.37630	1.37306	1.37570	5693	0	0
2021.08.18	12:00:00	1.37574	1.37691	1.37473	1.37667	6417	0	0
2021.08.18	16:00:00	1.37667	1.37707	1.37447	1.37486	8024	0	0
2021.08.18	20:00:00	1.37486	1.37861	1.37468	1.37518	8645	0	0
2021.08.19	00:00:00	1.37510	1.37581	1.37324	1.37333	2982	0	0
2021.08.19	04:00:00	1.37335	1.37390	1.37119	1.37208	3765	0	0
2021.08.19	08:00:00	1.37208	1.37219	1.36743	1.36765	10150	0	0
2021.08.19	12:00:00	1.36764	1.36992	1.36652	1.36809	9536	0	0
2021.08.19	16:00:00	1.36808	1.36942	1.36524	1.36531	12687	0	0
2021.08.19	20:00:00	1.36531	1.36537	1.36308	1.36310	6272	0	0
2021.08.20	00:00:00	1.36430	1.36433	1.36275	1.36402	2444	0	0
2021.08.20	04:00:00	1.36402	1.36411	1.36182	1.36331	3840	0	0
2021.08.20	08:00:00	1.36332	1.36346	1.36092	1.36218	8888	0	0
2021.08.20	12:00:00	1.36218	1.36226	1.36049	1.36051	7185	0	0
2021.08.20	16:00:00	1.36051	1.36359	1.36020	1.36276	10202	0	0
2021.08.20	20:00:00	1.36277	1.36292	1.36188	1.36226	5528	0	0
2021.08.23	00:00:00	1.36212	1.36445	1.36084	1.36419	2417	0	0
2021.08.23	04:00:00	1.36418	1.36548	1.36399	1.36488	3787	0	0
2021.08.23	08:00:00	1.36488	1.36623	1.36322	1.36541	7987	0	0
2021.08.23	12:00:00	1.36542	1.36996	1.36520	1.36967	8059	0	0
2021.08.23	16:00:00	1.36967	1.37250	1.36861	1.37218	9930	0	0
2021.08.23	20:00:00	1.37219	1.37323	1.37199	1.37217	3948	0	0
2021.08.24	00:00:00	1.37096	1.37271	1.37096	1.37162	1819	0	0
2021.08.24	04:00:00	1.37162	1.37262	1.37108	1.37260	2117	0	0
2021.08.24	08:00:00	1.37260	1.37478	1.36939	1.37088	7505	0	0
2021.08.24	12:00:00	1.37086	1.37327	1.37042	1.37122	7277	0	0
2021.08.24	16:00:00	1.37122	1.37476	1.37086	1.37219	8354	0	0
2021.08.24	20:00:00	1.37219	1.37319	1.37207	1.37261	3201	0	0
2021.08.25	00:00:00	1.37234	1.37322	1.37179	1.37199	2104	0	0
2021.08.25	04:00:00	1.37199	1.37236	1.37140	1.37179	3303	0	0
2021.08.25	08:00:00	1.37179	1.37434	1.37067	1.37297	6726	0	0
2021.08.25	12:00:00	1.37297	1.37335	1.36968	1.37037	6429	0	0
2021.08.25	16:00:00	1.37031	1.37398	1.36999	1.37382	10394	0	0
2021.08.25	20:00:00	1.37381	1.37670	1.37357	1.37637	5610	0	0
2021.08.26	00:00:00	1.37544	1.37679	1.37462	1.37608	2650	0	0
2021.08.26	04:00:00	1.37608	1.37608	1.37497	1.37561	3174	0	0
2021.08.26	08:00:00	1.37561	1.37585	1.37313	1.37352	7676	0	0
2021.08.26	12:00:00	1.37353	1.37502	1.37181	1.37189	9411	0	0
2021.08.26	16:00:00	1.37188	1.37363	1.37024	1.37029	13147	0	0
2021.08.26	20:00:00	1.37029	1.37077	1.36896	1.36991	5115	0	0
2021.08.27	00:00:00	1.36926	1.37031	1.36800	1.36823	2351	0	0
2021.08.27	04:00:00	1.36824	1.37014	1.36802	1.37014	3566	0	0
2021.08.27	08:00:00	1.37014	1.37210	1.36940	1.37025	8141	0	0
2021.08.27	12:00:00	1.37025	1.37298	1.36960	1.37247	10336	0	0
2021.08.27	16:00:00	1.37251	1.37810	1.37022	1.37779	18142	0	0
2021.08.27	20:00:00	1.37779	1.37792	1.37555	1.37609	4801	0	0
2021.08.30	00:00:00	1.37609	1.37659	1.37497	1.37628	3348	0	0
2021.08.30	04:00:00	1.37628	1.37750	1.37582	1.37702	5008	0	0
2021.08.30	08:00:00	1.37701	1.37748	1.37508	1.37627	5994	0	0
2021.08.30	12:00:00	1.37628	1.37677	1.37398	1.37408	6441	0	0
2021.08.30	16:00:00	1.37406	1.37642	1.37339	1.37553	7348	0	0
2021.08.30	20:00:00	1.37550	1.37674	1.37538	1.37566	2526	0	0
2021.08.31	00:00:00	1.37546	1.37654	1.37490	1.37625	2395	0	0
2021.08.31	04:00:00	1.37625	1.37819	1.37575	1.37793	3674	0	0
2021.08.31	08:00:00	1.37793	1.38010	1.37692	1.37692	8427	0	0
2021.08.31	12:00:00	1.37692	1.37919	1.37592	1.37838	11961	0	0
2021.08.31	16:00:00	1.37841	1.38074	1.37428	1.37516	14422	0	0
2021.08.31	20:00:00	1.37516	1.37596	1.37471	1.37547	4906	0	0
2021.09.01	00:00:00	1.37488	1.37583	1.37358	1.37371	2267	0	0
2021.09.01	04:00:00	1.37371	1.37412	1.37308	1.37353	3531	0	0
2021.09.01	08:00:00	1.37353	1.37651	1.37309	1.37561	9399	0	0
2021.09.01	12:00:00	1.37561	1.37907	1.37442	1.37868	9338	0	0
2021.09.01	16:00:00	1.37868	1.37982	1.37741	1.37839	11840	0	0
2021.09.01	20:00:00	1.37840	1.37841	1.37668	1.37690	4673	0	0
2021.09.02	00:00:00	1.37659	1.37769	1.37659	1.37746	2264	0	0
2021.09.02	04:00:00	1.37746	1.37802	1.37709	1.37709	3193	0	0
2021.09.02	08:00:00	1.37709	1.37914	1.37707	1.37861	7809	0	0
2021.09.02	12:00:00	1.37862	1.38014	1.37822	1.37864	8064	0	0
2021.09.02	16:00:00	1.37864	1.38363	1.37817	1.38319	11006	0	0
2021.09.02	20:00:00	1.38319	1.38396	1.38285	1.38327	4126	0	0
2021.09.03	00:00:00	1.38328	1.38455	1.38297	1.38440	1646	0	0
2021.09.03	04:00:00	1.38440	1.38453	1.38317	1.38322	2857	0	0
2021.09.03	08:00:00	1.38323	1.38410	1.38246	1.38347	6214	0	0
2021.09.03	12:00:00	1.38346	1.38671	1.38178	1.38499	11332	0	0
2021.09.03	16:00:00	1.38502	1.38747	1.38377	1.38742	13447	0	0
2021.09.03	20:00:00	1.38742	1.38916	1.38534	1.38548	5070	0	0
2021.09.06	00:00:00	1.38574	1.38679	1.38504	1.38549	2705	0	0
2021.09.06	04:00:00	1.38549	1.38593	1.38430	1.38442	3799	0	0
2021.09.06	08:00:00	1.38443	1.38556	1.38362	1.38419	6683	0	0
2021.09.06	12:00:00	1.38419	1.38467	1.38311	1.38384	5746	0	0
2021.09.06	16:00:00	1.38387	1.38403	1.38183	1.38318	5808	0	0
2021.09.06	20:00:00	1.38318	1.38373	1.38270	1.38348	5416	0	0
2021.09.07	00:00:00	1.38313	1.38520	1.38251	1.38477	2365	0	0
2021.09.07	04:00:00	1.38476	1.38566	1.38381	1.38381	4378	0	0
2021.09.07	08:00:00	1.38382	1.38499	1.38099	1.38176	10105	0	0
2021.09.07	12:00:00	1.38176	1.38244	1.37677	1.37804	12803	0	0
2021.09.07	16:00:00	1.37804	1.38001	1.37678	1.37891	12002	0	0
2021.09.07	20:00:00	1.37890	1.37961	1.37792	1.37828	4790	0	0
2021.09.08	00:00:00	1.37834	1.37882	1.37749	1.37864	2631	0	0
2021.09.08	04:00:00	1.37864	1.37903	1.37770	1.37792	3240	0	0
2021.09.08	08:00:00	1.37792	1.37797	1.37502	1.37634	10956	0	0
2021.09.08	12:00:00	1.37633	1.37783	1.37531	1.37655	10321	0	0
2021.09.08	16:00:00	1.37654	1.37831	1.37263	1.37711	14432	0	0
2021.09.08	20:00:00	1.37711	1.37844	1.37682	1.37699	5273	0	0
2021.09.09	00:00:00	1.37675	1.37740	1.37591	1.37610	2308	0	0
2021.09.09	04:00:00	1.37610	1.37733	1.37531	1.37575	4703	0	0
2021.09.09	08:00:00	1.37575	1.38120	1.37554	1.38110	10188	0	0
2021.09.09	12:00:00	1.38108	1.38421	1.38052	1.38369	13110	0	0
2021.09.09	16:00:00	1.38368	1.38596	1.38248	1.38565	13525	0	0
2021.09.09	20:00:00	1.38565	1.38627	1.38342	1.38362	6371	0	0
2021.09.10	00:00:00	1.38348	1.38461	1.38284	1.38415	2886	0	0
2021.09.10	04:00:00	1.38415	1.38517	1.38328	1.38488	4056	0	0
2021.09.10	08:00:00	1.38488	1.38849	1.38398	1.38783	9283	0	0
2021.09.10	12:00:00	1.38782	1.38884	1.38641	1.38793	9289	0	0
2021.09.10	16:00:00	1.38791	1.38798	1.38415	1.38537	11977	0	0
2021.09.10	20:00:00	1.38534	1.38558	1.38261	1.38292	5259	0	0
2021.09.13	00:00:00	1.38329	1.38431	1.38262	1.38347	2167	0	0
2021.09.13	04:00:00	1.38348	1.38461	1.38224	1.38256	5467	0	0
2021.09.13	08:00:00	1.38256	1.38268	1.37972	1.38168	10246	0	0
2021.09.13	12:00:00	1.38168	1.38418	1.38143	1.38360	9141	0	0
2021.09.13	16:00:00	1.38360	1.38512	1.38138	1.38354	12923	0	0
2021.09.13	20:00:00	1.38354	1.38423	1.38266	1.38423	5881	0	0
