<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	00:00:00	0.90498	0.90630	0.90498	0.90597	1315	0	0
2021.08.02	04:00:00	0.90597	0.90656	0.90547	0.90582	1657	0	0
2021.08.02	08:00:00	0.90582	0.90647	0.90476	0.90548	4310	0	0
2021.08.02	12:00:00	0.90548	0.90674	0.90463	0.90662	5248	0	0
2021.08.02	16:00:00	0.90659	0.90659	0.90376	0.90517	8824	0	0
2021.08.02	20:00:00	0.90517	0.90568	0.90494	0.90513	2701	0	0
2021.08.03	00:00:00	0.90532	0.90552	0.90444	0.90548	1262	0	0
2021.08.03	04:00:00	0.90548	0.90578	0.90488	0.90496	2755	0	0
2021.08.03	08:00:00	0.90496	0.90576	0.90430	0.90438	5685	0	0
2021.08.03	12:00:00	0.90439	0.90472	0.90230	0.90281	5451	0	0
2021.08.03	16:00:00	0.90276	0.90483	0.90261	0.90397	8364	0	0
2021.08.03	20:00:00	0.90397	0.90469	0.90390	0.90402	2327	0	0
2021.08.04	00:00:00	0.90329	0.90427	0.90324	0.90420	819	0	0
2021.08.04	04:00:00	0.90420	0.90420	0.90336	0.90371	1737	0	0
2021.08.04	08:00:00	0.90371	0.90609	0.90334	0.90565	4134	0	0
2021.08.04	12:00:00	0.90565	0.90579	0.90248	0.90249	5281	0	0
2021.08.04	16:00:00	0.90250	0.90761	0.90185	0.90630	11274	0	0
2021.08.04	20:00:00	0.90629	0.90659	0.90599	0.90638	2358	0	0
2021.08.05	00:00:00	0.90660	0.90733	0.90582	0.90731	1071	0	0
2021.08.05	04:00:00	0.90731	0.90768	0.90690	0.90724	1667	0	0
2021.08.05	08:00:00	0.90724	0.90779	0.90528	0.90648	4571	0	0
2021.08.05	12:00:00	0.90646	0.90726	0.90514	0.90702	6572	0	0
2021.08.05	16:00:00	0.90702	0.90734	0.90581	0.90666	8283	0	0
2021.08.05	20:00:00	0.90666	0.90684	0.90621	0.90671	2359	0	0
2021.08.06	00:00:00	0.90662	0.90734	0.90632	0.90729	833	0	0
2021.08.06	04:00:00	0.90728	0.90818	0.90722	0.90786	1371	0	0
2021.08.06	08:00:00	0.90787	0.90829	0.90684	0.90800	5258	0	0
2021.08.06	12:00:00	0.90799	0.91085	0.90777	0.91054	8318	0	0
2021.08.06	16:00:00	0.91055	0.91564	0.91033	0.91547	10698	0	0
2021.08.06	20:00:00	0.91547	0.91547	0.91444	0.91503	3297	0	0
2021.08.09	00:00:00	0.91388	0.91633	0.91388	0.91574	2739	0	0
2021.08.09	04:00:00	0.91574	0.91574	0.91480	0.91486	1969	0	0
2021.08.09	08:00:00	0.91486	0.91679	0.91456	0.91670	5809	0	0
2021.08.09	12:00:00	0.91670	0.91739	0.91584	0.91695	5729	0	0
2021.08.09	16:00:00	0.91696	0.91996	0.91634	0.91976	7375	0	0
2021.08.09	20:00:00	0.91976	0.92072	0.91952	0.92058	2838	0	0
2021.08.10	00:00:00	0.91924	0.92097	0.91904	0.92017	1115	0	0
2021.08.10	04:00:00	0.92017	0.92052	0.91950	0.92008	1486	0	0
2021.08.10	08:00:00	0.92008	0.92181	0.91970	0.92102	5006	0	0
2021.08.10	12:00:00	0.92102	0.92328	0.92084	0.92314	5355	0	0
2021.08.10	16:00:00	0.92314	0.92339	0.92207	0.92330	6894	0	0
2021.08.10	20:00:00	0.92330	0.92344	0.92268	0.92284	2346	0	0
2021.08.11	00:00:00	0.92137	0.92323	0.92137	0.92320	2198	0	0
2021.08.11	04:00:00	0.92321	0.92331	0.92202	0.92276	1397	0	0
2021.08.11	08:00:00	0.92276	0.92423	0.92264	0.92372	4013	0	0
2021.08.11	12:00:00	0.92371	0.92395	0.92026	0.92142	6235	0	0
2021.08.11	16:00:00	0.92141	0.92259	0.92050	0.92103	7390	0	0
2021.08.11	20:00:00	0.92104	0.92212	0.92051	0.92178	3035	0	0
2021.08.12	00:00:00	0.92166	0.92198	0.92080	0.92172	1080	0	0
2021.08.12	04:00:00	0.92172	0.92214	0.92125	0.92166	1165	0	0
2021.08.12	08:00:00	0.92161	0.92238	0.92117	0.92148	3725	0	0
2021.08.12	12:00:00	0.92148	0.92323	0.92136	0.92233	4209	0	0
2021.08.12	16:00:00	0.92240	0.92371	0.92233	0.92327	4756	0	0
2021.08.12	20:00:00	0.92328	0.92397	0.92304	0.92341	2411	0	0
2021.08.13	00:00:00	0.92208	0.92349	0.92208	0.92328	899	0	0
2021.08.13	04:00:00	0.92328	0.92337	0.92288	0.92314	1155	0	0
2021.08.13	08:00:00	0.92314	0.92391	0.92248	0.92256	2749	0	0
2021.08.13	12:00:00	0.92255	0.92271	0.91973	0.91994	3854	0	0
2021.08.13	16:00:00	0.91995	0.92013	0.91510	0.91570	7239	0	0
2021.08.13	20:00:00	0.91569	0.91582	0.91513	0.91526	2552	0	0
2021.08.16	00:00:00	0.91520	0.91591	0.91498	0.91541	843	0	0
2021.08.16	04:00:00	0.91541	0.91630	0.91486	0.91585	1368	0	0
2021.08.16	08:00:00	0.91585	0.91637	0.91281	0.91287	4259	0	0
2021.08.16	12:00:00	0.91287	0.91453	0.91278	0.91335	5842	0	0
