<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	00:00:00	109.628	109.771	109.586	109.632	3649	0	0
2021.08.02	04:00:00	109.632	109.744	109.611	109.702	4291	0	0
2021.08.02	08:00:00	109.702	109.746	109.620	109.649	7016	0	0
2021.08.02	12:00:00	109.649	109.670	109.477	109.536	6875	0	0
2021.08.02	16:00:00	109.536	109.544	109.188	109.251	10056	0	0
2021.08.02	20:00:00	109.251	109.375	109.242	109.315	3216	0	0
2021.08.03	00:00:00	109.303	109.342	109.222	109.307	3810	0	0
2021.08.03	04:00:00	109.307	109.333	109.135	109.183	5259	0	0
2021.08.03	08:00:00	109.183	109.248	109.098	109.150	7401	0	0
2021.08.03	12:00:00	109.151	109.218	109.028	109.036	6998	0	0
2021.08.03	16:00:00	109.035	109.105	108.877	109.063	10641	0	0
2021.08.03	20:00:00	109.064	109.157	109.026	109.027	2713	0	0
2021.08.04	00:00:00	109.003	109.072	108.947	109.017	2438	0	0
2021.08.04	04:00:00	109.018	109.110	108.926	109.082	4417	0	0
2021.08.04	08:00:00	109.082	109.236	109.026	109.192	5582	0	0
2021.08.04	12:00:00	109.192	109.213	108.760	108.768	8164	0	0
2021.08.04	16:00:00	108.768	109.674	108.721	109.519	14819	0	0
2021.08.04	20:00:00	109.518	109.518	109.436	109.482	4459	0	0
2021.08.05	00:00:00	109.480	109.691	109.459	109.685	3939	0	0
2021.08.05	04:00:00	109.685	109.716	109.628	109.669	4110	0	0
2021.08.05	08:00:00	109.669	109.753	109.546	109.601	7250	0	0
2021.08.05	12:00:00	109.601	109.639	109.404	109.594	8814	0	0
2021.08.05	16:00:00	109.594	109.783	109.558	109.739	9660	0	0
2021.08.05	20:00:00	109.739	109.790	109.725	109.782	3629	0	0
2021.08.06	00:00:00	109.768	109.881	109.742	109.864	2828	0	0
2021.08.06	04:00:00	109.864	109.887	109.813	109.816	3431	0	0
2021.08.06	08:00:00	109.816	109.845	109.699	109.782	6177	0	0
2021.08.06	12:00:00	109.782	110.118	109.755	110.113	9278	0	0
2021.08.06	16:00:00	110.114	110.352	110.114	110.267	11222	0	0
2021.08.06	20:00:00	110.267	110.269	110.194	110.224	3281	0	0
2021.08.09	00:00:00	110.317	110.319	110.083	110.263	4276	0	0
2021.08.09	04:00:00	110.263	110.264	110.188	110.215	2580	0	0
2021.08.09	08:00:00	110.214	110.240	110.108	110.189	6624	0	0
2021.08.09	12:00:00	110.189	110.194	110.045	110.141	7315	0	0
2021.08.09	16:00:00	110.142	110.319	110.027	110.274	9189	0	0
2021.08.09	20:00:00	110.274	110.354	110.230	110.337	3440	0	0
2021.08.10	00:00:00	110.205	110.405	110.205	110.328	2831	0	0
2021.08.10	04:00:00	110.328	110.363	110.308	110.326	3187	0	0
2021.08.10	08:00:00	110.326	110.501	110.318	110.489	5868	0	0
2021.08.10	12:00:00	110.489	110.549	110.400	110.491	6822	0	0
2021.08.10	16:00:00	110.492	110.600	110.468	110.597	8155	0	0
2021.08.10	20:00:00	110.596	110.600	110.544	110.583	2556	0	0
2021.08.11	00:00:00	110.554	110.685	110.475	110.674	8452	0	0
2021.08.11	04:00:00	110.674	110.688	110.606	110.678	3003	0	0
2021.08.11	08:00:00	110.678	110.801	110.646	110.798	5396	0	0
2021.08.11	12:00:00	110.797	110.800	110.398	110.478	8448	0	0
2021.08.11	16:00:00	110.478	110.579	110.386	110.418	9239	0	0
2021.08.11	20:00:00	110.417	110.480	110.310	110.441	4821	0	0
2021.08.12	00:00:00	110.399	110.448	110.337	110.348	1997	0	0
2021.08.12	04:00:00	110.347	110.433	110.317	110.418	3053	0	0
2021.08.12	08:00:00	110.418	110.476	110.347	110.359	5814	0	0
2021.08.12	12:00:00	110.360	110.534	110.358	110.461	6083	0	0
2021.08.12	16:00:00	110.462	110.548	110.322	110.403	6602	0	0
2021.08.12	20:00:00	110.403	110.476	110.383	110.441	3165	0	0
2021.08.13	00:00:00	110.359	110.458	110.323	110.422	3622	0	0
2021.08.13	04:00:00	110.422	110.427	110.371	110.411	2359	0	0
2021.08.13	08:00:00	110.411	110.417	110.235	110.274	4864	0	0
2021.08.13	12:00:00	110.274	110.333	110.184	110.196	5157	0	0
2021.08.13	16:00:00	110.196	110.203	109.646	109.673	8051	0	0
2021.08.13	20:00:00	109.673	109.674	109.547	109.600	2813	0	0
2021.08.16	00:00:00	109.616	109.751	109.441	109.501	4423	0	0
2021.08.16	04:00:00	109.499	109.531	109.328	109.436	3910	0	0
2021.08.16	08:00:00	109.436	109.454	109.297	109.314	6524	0	0
2021.08.16	12:00:00	109.314	109.439	109.256	109.313	7849	0	0
2021.08.16	16:00:00	109.313	109.328	109.114	109.238	8983	0	0
2021.08.16	20:00:00	109.240	109.272	109.200	109.267	2201	0	0
2021.08.17	00:00:00	109.150	109.329	109.150	109.238	2936	0	0
2021.08.17	04:00:00	109.238	109.354	109.203	109.342	3738	0	0
2021.08.17	08:00:00	109.343	109.429	109.116	109.303	8013	0	0
2021.08.17	12:00:00	109.303	109.556	109.171	109.531	8497	0	0
2021.08.17	16:00:00	109.531	109.655	109.412	109.545	9396	0	0
2021.08.17	20:00:00	109.545	109.610	109.507	109.587	3389	0	0
2021.08.18	00:00:00	109.551	109.616	109.498	109.514	3552	0	0
2021.08.18	04:00:00	109.514	109.683	109.478	109.616	4769	0	0
2021.08.18	08:00:00	109.616	109.671	109.537	109.625	5801	0	0
2021.08.18	12:00:00	109.625	109.879	109.607	109.865	6804	0	0
2021.08.18	16:00:00	109.865	110.000	109.775	109.984	7887	0	0
2021.08.18	20:00:00	109.984	110.066	109.755	109.767	7902	0	0
2021.08.19	00:00:00	109.763	109.995	109.747	109.983	4315	0	0
2021.08.19	04:00:00	109.983	110.226	109.963	110.171	6129	0	0
2021.08.19	08:00:00	110.171	110.199	109.497	109.605	13104	0	0
2021.08.19	12:00:00	109.605	109.769	109.484	109.683	10497	0	0
2021.08.19	16:00:00	109.682	109.838	109.658	109.777	10576	0	0
2021.08.19	20:00:00	109.776	109.833	109.758	109.765	4147	0	0
2021.08.20	00:00:00	109.681	109.885	109.656	109.845	3828	0	0
2021.08.20	04:00:00	109.845	109.848	109.632	109.746	5191	0	0
2021.08.20	08:00:00	109.746	109.747	109.571	109.680	8484	0	0
2021.08.20	12:00:00	109.680	109.777	109.586	109.777	6750	0	0
2021.08.20	16:00:00	109.776	109.878	109.732	109.811	8457	0	0
2021.08.20	20:00:00	109.812	109.849	109.760	109.792	2672	0	0
2021.08.23	00:00:00	109.724	109.935	109.687	109.869	4210	0	0
2021.08.23	04:00:00	109.869	109.887	109.808	109.864	4421	0	0
2021.08.23	08:00:00	109.863	109.991	109.840	109.935	7640	0	0
2021.08.23	12:00:00	109.936	110.148	109.936	110.040	6099	0	0
2021.08.23	16:00:00	110.041	110.041	109.722	109.773	9046	0	0
2021.08.23	20:00:00	109.773	109.774	109.654	109.691	3030	0	0
2021.08.24	00:00:00	109.691	109.768	109.642	109.762	3238	0	0
2021.08.24	04:00:00	109.762	109.789	109.701	109.772	2565	0	0
2021.08.24	08:00:00	109.772	109.882	109.711	109.795	6569	0	0
2021.08.24	12:00:00	109.795	109.795	109.513	109.532	5941	0	0
